sample	Generation	Sex	Tg	Tg coming from	group
34944	F0	male	wt/+	-	1
34946	F0	male	wt/+	-	1
34961	F0	male	wt/+	-	1
34945	F0	male	wt/wt	-	c
34963	F0	male	wt/wt	-	c
34965	F0	male	wt/wt	-	c
34927	F0	female	wt/+	-	2
34928	F0	female	wt/+	-	2
34929	F0	female	wt/+	-	2
34948	F0	female	wt/+	-	2
34950	F0	female	wt/+	-	2
34926	F0	female	wt/wt	-	c
34931	F0	female	wt/wt	-	c
34955	F0	female	wt/wt	-	c
34957	F0	female	wt/wt	-	c
34968	F0	female	wt/wt	-	c
35687	F1	male	wt/+	father	3
35764	F1	male	wt/+	father	3
35779	F1	male	wt/+	father	3
35952	F1	male	wt/+	father	3
35790	F1	female	wt/+	father	3
35955	F1	female	wt/+	father	3
36253	F1	female	wt/+	father	3
36267	F1	female	wt/+	father	3
35772	F1	male	wt/+	mother	4
35773	F1	male	wt/+	mother	4
35799	F1	male	wt/+	mother	4
35805	F1	male	wt/+	mother	4
35685	F1	female	wt/+	mother	4
35777	F1	female	wt/+	mother	4
35778	F1	female	wt/+	mother	4
35807	F1	female	wt/+	mother	4